subj	age	gender	condition	responseRing	speed	rt	correct	numTargets	numObjects	ageGroup
201	62	female	23.15	1	0.35	2.19749880314339	1	2	5	older
201	62	female	23.15	1	0.35	2.15964940132108	1	2	5	older
201	62	female	23.15	3	0.4	2.48282687342726	1	2	5	older
201	62	female	23.15	3	0.4	2.19119615398813	1	2	5	older
201	62	female	23.15	3	0.45	2.44738333951682	1	2	5	older
201	62	female	23.15	1	0.45	2.67373655713163	1	2	5	older
201	62	female	23.15	1	0.45	1.97494697722141	1	2	5	older
201	62	female	23.15	3	0.45	5.03925549099222	0	2	5	older
201	62	female	23.15	1	0.45	2.57371494360268	1	2	5	older
201	62	female	23.15	3	0.45	2.05703717831057	0	2	5	older
201	62	female	23.15	3	0.4	2.45517931715585	1	2	5	older
201	62	female	23.15	3	0.45	2.51954095915426	1	2	5	older
201	62	female	23.15	3	0.45	2.37164891592693	1	2	5	older
201	62	female	23.15	1	0.45	2.16127041890286	1	2	5	older
201	62	female	23.15	1	0.5	2.27778535801917	1	2	5	older
201	62	female	23.15	1	0.55	2.25296265864745	1	2	5	older
201	62	female	33.15	3	0.6	2.79436350765172	1	3	5	older
201	62	female	33.15	2	0.2	3.80774671304971	0	3	5	older
201	62	female	33.15	1	0.2	1.87510376633145	1	3	5	older
201	62	female	33.15	3	0.333333333333333	5.30452580854762	0	3	5	older
201	62	female	33.15	1	0.6	2.3056025627302	0	3	5	older
201	62	female	33.15	3	0.333333333333333	2.68352695996873	1	3	5	older
201	62	female	33.15	1	0.466666666666667	2.92132902913727	0	3	5	older
201	62	female	33.15	2	0.466666666666667	2.62526783009525	1	3	5	older
201	62	female	33.15	3	0.6	2.42940242099576	1	3	5	older
201	62	female	33.15	1	0.6	2.27735912392382	0	3	5	older
201	62	female	33.15	1	0.6	3.86678224091884	0	3	5	older
201	62	female	33.15	3	0.466666666666667	3.07720692327712	0	3	5	older
201	62	female	33.15	3	0.466666666666667	2.59921442531049	0	3	5	older
201	62	female	33.15	3	0.6	3.35336884879507	0	3	5	older
201	62	female	33.15	2	0.2	2.14328919863328	0	3	5	older
201	62	female	33.15	3	0.2	5.45926899043843	1	3	5	older
201	62	female	33.15	2	0.2	3.39902388781775	0	3	5	older
201	62	female	33.15	1	0.466666666666667	2.2110006416915	0	3	5	older
201	62	female	33.15	1	0.466666666666667	2.16955692786723	0	3	5	older
201	62	female	33.15	3	0.6	2.6057238522917	0	3	5	older
201	62	female	33.15	3	0.333333333333333	5.09952021506615	0	3	5	older
201	62	female	33.15	1	0.6	2.23678146209568	0	3	5	older
201	62	female	33.15	2	0.466666666666667	2.72895590169355	0	3	5	older
201	62	female	33.15	1	0.466666666666667	2.6629563375609	1	3	5	older
201	62	female	33.15	1	0.333333333333333	2.12920657079667	1	3	5	older
201	62	female	33.15	2	0.2	2.93918014550582	1	3	5	older
201	62	female	33.15	1	0.2	4.60951075458433	0	3	5	older
201	62	female	33.15	1	0.333333333333333	3.42357339896262	0	3	5	older
201	62	female	33.15	3	0.333333333333333	2.33986338775139	1	3	5	older
201	62	female	33.15	2	0.333333333333333	2.64726416300982	0	3	5	older
201	62	female	33.15	3	0.333333333333333	3.77362716116477	1	3	5	older
201	62	female	33.15	1	0.2	2.1016269341344	1	3	5	older
201	62	female	33.15	3	0.1	2.6737637250917	1	3	5	older
201	62	female	33.15	2	0.1	3.74480685743038	1	3	5	older
201	62	female	33.15	2	0.1	2.17876261717174	1	3	5	older
201	62	female	33.15	3	0.1	2.18961679388303	1	3	5	older
201	62	female	33.15	1	0.1	2.15774613956455	1	3	5	older
201	62	female	33.15	1	0.15	2.10955603444017	1	3	5	older
201	62	female	33.15	2	0.25	2.32933401840273	0	3	5	older
201	62	female	33.15	2	0.1	2.51769807050005	1	3	5	older
201	62	female	33.15	1	0.15	2.33925211022142	0	3	5	older
201	62	female	33.15	3	0.15	2.1557139812503	1	3	5	older
201	62	female	33.15	3	0.1	2.34902560850605	1	3	5	older
201	62	female	33.15	2	0.15	3.39923609921243	1	3	5	older
201	62	female	33.15	1	0.25	2.19078471127432	1	3	5	older
201	62	female	33.15	2	0.25	4.24337993934751	1	3	5	older
201	62	female	33.15	1	0.3	1.95891852467321	1	3	5	older
201	62	female	33.15	1	0.25	1.97882021311671	1	3	5	older
201	62	female	33.15	1	0.25	3.91319405660033	0	3	5	older
201	62	female	33.15	1	0.25	2.01279064361006	1	3	5	older
201	62	female	131.1	3	0.3	2.6072328776354	1	1	10	older
201	62	female	131.1	3	0.3	5.59535416972358	0	1	10	older
201	62	female	131.1	3	0.7	4.39584886690136	0	1	10	older
201	62	female	131.1	3	0.9	3.48954338021576	0	1	10	older
201	62	female	131.1	3	0.5	2.701302911737	0	1	10	older
201	62	female	131.1	3	0.9	3.11550610454287	0	1	10	older
201	62	female	131.1	3	0.5	2.3070717419032	0	1	10	older
201	62	female	131.1	3	0.5	2.41303648275789	1	1	10	older
201	62	female	131.1	3	0.3	2.17872367659584	1	1	10	older
201	62	female	131.1	3	0.5	2.86125810281374	0	1	10	older
201	62	female	131.1	3	0.3	2.48551890975796	1	1	10	older
201	62	female	131.1	3	0.7	3.44094153039623	1	1	10	older
201	62	female	131.1	3	0.7	2.19922819035128	0	1	10	older
201	62	female	131.1	3	0.7	3.22775930701755	1	1	10	older
201	62	female	131.1	3	0.5	2.36347802146338	1	1	10	older
201	62	female	131.1	3	0.3	2.31300068157725	1	1	10	older
201	62	female	131.1	3	0.9	2.46347639150918	0	1	10	older
201	62	female	131.1	3	0.9	2.16876030492131	0	1	10	older
201	62	female	131.1	3	0.5	2.78111221734434	0	1	10	older
201	62	female	131.1	3	0.3	2.25302484282292	1	1	10	older
201	62	female	131.1	3	0.3	2.37091206235345	0	1	10	older
201	62	female	131.1	3	0.9	2.85726140404586	0	1	10	older
201	62	female	131.1	3	0.7	2.45908062648959	0	1	10	older
201	62	female	131.1	3	0.7	3.17297706357203	0	1	10	older
201	62	female	131.1	3	0.9	3.14884080633055	0	1	10	older
201	62	female	131.1	3	0.5	2.25071466644295	1	1	10	older
201	62	female	131.1	3	0.7	2.92947154829744	0	1	10	older
201	62	female	131.1	3	0.7	2.22939421038609	0	1	10	older
201	62	female	131.1	3	0.9	3.4421867254423	0	1	10	older
201	62	female	131.1	3	0.9	2.25770949316211	0	1	10	older
201	62	female	131.1	3	0.3	2.2735764477402	1	1	10	older
201	62	female	131.1	3	0.5	2.09358584170695	1	1	10	older
201	62	female	131.1	3	0.2	2.22895197744947	1	1	10	older
201	62	female	131.1	3	0.35	2.52077226841357	1	1	10	older
201	62	female	131.1	3	0.35	1.92768601397984	1	1	10	older
201	62	female	131.1	3	0.4	2.26307092572097	1	1	10	older
201	62	female	131.1	3	0.4	2.40332064090762	1	1	10	older
201	62	female	131.1	3	0.45	2.48389426979702	1	1	10	older
201	62	female	131.1	3	0.45	2.21943687601015	1	1	10	older
201	62	female	131.1	3	0.55	2.76383343781345	0	1	10	older
201	62	female	131.1	3	0.45	4.05295776843559	0	1	10	older
201	62	female	131.1	3	0.4	2.24320666852873	1	1	10	older
